movie,production_budget,domestic_gross,worldwide_gross,mpaa_rating,genre
Fantastic Mr. Fox,40000000,21002919,47083412,PG,Adventure
City Hall,40000000,20278055,20278055,R,Drama
Big Miracle,40000000,20157300,25268680,PG,Drama
The Impossible,40000000,19019882,169590606,PG-13,Drama
A Thousand Words,40000000,18450127,20790486,PG-13,Comedy
Marie Antoinette,40000000,15962471,60862471,PG-13,Drama
Get Carter,40000000,14967182,19417182,R,Drama
Kiss of Death,40000000,14942422,14942422,R,Drama
Ishtar,40000000,14375181,14375181,PG-13,Comedy
Memoirs of an Invisible Man,40000000,14358033,14358033,PG-13,Comedy
Amelia,40000000,14279575,19756077,PG,Drama
New York Minute,40000000,14018364,21215882,PG,Comedy
The Deep End of the Ocean,40000000,13508635,13508635,PG-13,Drama
FearDotCom,40000000,13208023,13208023,R,Horror
Soul Men,40000000,12082391,12345883,R,Comedy
Universal Soldier II: The Return,40000000,10447421,10717421,R,Action
Pandorum,40000000,10330853,17033431,R,Horror
Duplex,40000000,9652000,10070651,PG-13,Comedy
Extreme Ops,40000000,4835968,12624471,PG-13,Action
Just Visiting,40000000,4777007,16172200,PG-13,Comedy
The Hudsucker Proxy,40000000,2816518,14938149,PG,Comedy
Billy Lynn’s Long Halftime Walk,40000000,1738477,30230402,R,Drama
Delgo,40000000,915840,915840,PG,Adventure
The Hunting Party,40000000,876671,7729552,R,Adventure
Alex Rider: Operation Stormbreaker,40000000,659210,20722450,PG,Action
Red Cliff,40000000,627047,119627047,R,Action
The Last Shot,40000000,463730,463730,R,Comedy
Nomad,40000000,79123,79123,R,Drama
USS Indianapolis: Men of Courage,40000000,0,1641255,R,Drama
The Time Traveler's Wife,39000000,63414846,102332135,PG-13,Drama
Superman III,39000000,59950623,59950623,PG,Adventure
Because I Said So,39000000,42674040,69538833,PG-13,Comedy
Frankenweenie,39000000,35287788,81150788,PG,Adventure
Sgt. Bilko,39000000,30356589,37956589,PG,Comedy
Serenity,39000000,25514517,40319440,PG-13,Action
Against the Ropes,39000000,5881504,6429865,PG-13,Drama
Yi dai zong shi,38600000,6594959,57987299,PG-13,Action
The Fast and the Furious,38000000,144512310,206512310,PG-13,Action
Sweet Home Alabama,38000000,127214072,182365114,PG-13,Comedy
Star Trek: Generations,38000000,75671262,120000000,PG,Adventure
Paul Blart: Mall Cop 2,38000000,71091594,107650646,PG,Adventure
Mouse Hunt,38000000,61894591,61894591,PG,Adventure
Why Him?,38000000,60323786,117439538,R,Comedy
Water for Elephants,38000000,58709717,116809717,PG-13,Drama
The Hurricane,38000000,50699241,73956241,R,Drama
Riddick,38000000,42025135,94763758,R,Action
The 5th Wave,38000000,34912982,111336398,PG-13,Action
Rush,38000000,26947624,98230839,R,Drama
Angel Eyes,38000000,24044532,29544532,R,Drama
Joe Somebody,38000000,22770864,24515990,PG,Comedy
Only the Brave,38000000,18340051,24181629,PG-13,Drama
Extreme Measures,38000000,17378193,17378193,R,Drama
Rock Star,38000000,16991902,19317765,R,Drama
White Squall,38000000,10229300,10229300,PG-13,Adventure
City of Ember,38000000,7873007,17831558,PG,Adventure
Switchback,38000000,6504442,6504442,R,Action
The Master,37500000,16247159,50647416,R,Drama
The Express,37500000,9793406,9813309,PG,Drama
We're the Millers,37000000,150394119,267816276,R,Comedy
Creed,37000000,109767581,173567581,PG-13,Drama
The Town,37000000,92186262,152566881,R,Drama
Dolphin Tale,37000000,72286779,96068724,PG,Drama
Game Night,37000000,69001013,117201013,R,Comedy
13 Going On 30,37000000,57139723,97658712,PG-13,Comedy
Nim's Island,37000000,48006762,101857425,PG,Adventure
Cop Out,37000000,44875481,55909910,R,Comedy
The Rite,37000000,33047633,97143987,PG-13,Horror
Space Chimps,37000000,30105968,67029956,G,Adventure
Magnolia,37000000,22450975,48446802,R,Drama
Aloha,37000000,21052030,24935799,PG-13,Drama
A Star is Born,36000000,126181246,200881246,R,Drama
Gnomeo and Juliet,36000000,99967670,193737977,G,Comedy
John Q,36000000,71026631,102226631,PG-13,Drama
Blue Streak,36000000,68208190,117448157,PG-13,Action
Never Say Never Again,36000000,55500000,160000000,PG,Action
Hot Tub Time Machine,36000000,50269859,65967750,R,Comedy
Dolphin Tale 2,36000000,42024533,57824533,PG,Drama
Collateral Beauty,36000000,31016021,85315070,PG-13,Drama
A Man Apart,36000000,26500000,43797731,R,Action
Reindeer Games,36000000,23360779,23360779,R,Action
Snow Falling on Cedars,36000000,14378353,14378353,PG-13,Drama
Ghosts of Mississippi,36000000,13052741,13052741,PG-13,Drama
Gattaca,36000000,12532777,12532777,PG-13,Drama
Isn't She Great,36000000,2954405,2954405,R,Comedy
Yip Man 3,36000000,2679437,157300954,PG-13,Action
There Be Dragons,36000000,1069334,4020990,PG-13,Drama
Queen of the Desert,36000000,0,1578543,PG-13,Drama
Head of State,35200000,37788228,38283765,PG-13,Comedy
It,35000000,327481748,697459228,R,Horror
The Hangover,35000000,277322503,465764086,R,Comedy
The Blind Side,35000000,255959475,305705794,PG-13,Drama
Batman,35000000,251188924,411348924,PG-13,Action
Lethal Weapon 3,35000000,144731527,319700000,R,Action
Rush Hour,35000000,141186864,245300000,PG-13,Action
Identity Thief,35000000,134506920,175361578,R,Comedy
The Devil Wears Prada,35000000,124740460,326073155,PG-13,Comedy
Horrible Bosses,35000000,117538559,212417601,R,Comedy
Spy Kids,35000000,112692062,197692062,PG,Adventure
Trainwreck,35000000,110212700,141123897,R,Comedy
Saving Mr. Banks,35000000,83299761,114962525,PG-13,Drama
Star Trek: The Motion Picture,35000000,82258456,139000000,PG,Adventure
The English Patient,35000000,78716374,231710008,R,Drama
Hotel for Dogs,35000000,73178547,122357172,PG,Adventure
Guess Who,35000000,68915888,102115888,PG-13,Comedy
This is 40,35000000,67544505,90221182,R,Comedy
L.A. Confidential,35000000,64604977,126204977,R,Drama
Sky High,35000000,63939454,83109359,PG,Adventure
In & Out,35000000,63826569,83226569,PG-13,Comedy
Species,35000000,60054449,113354449,R,Action
The Benchwarmers,35000000,59843754,65063726,PG-13,Comedy
Secretariat,35000000,59699513,60376247,PG,Drama
The Man in the Iron Mask,35000000,56968169,56968169,PG-13,Adventure
Neighbors 2: Sorority Rising,35000000,55340730,108758521,R,Comedy
TMNT,35000000,54149098,96096018,PG,Action
Radio,35000000,52333738,53293628,PG,Drama
Sicario: Day of the Soldado,35000000,50065850,73285196,R,Action
Old Dogs,35000000,49492060,95104304,PG,Comedy
Malcolm X,35000000,48169910,48169910,PG-13,Drama
Underworld 3: Rise of the Lycans,35000000,45802315,89102315,R,Action
12 Strong,35000000,45500164,70798829,R,Drama
Donnie Brasco,35000000,41954997,65303052,R,Drama
Max Payne,35000000,40689393,85763888,PG-13,Action
Resident Evil,35000000,40119709,103787401,R,Horror
The Ladykillers,35000000,39692139,77392139,R,Comedy
The Nativity Story,35000000,37629831,46309644,PG,Drama
J. Edgar,35000000,37306030,84606030,R,Drama
Bounce,35000000,36805288,53425292,PG-13,Drama
Mile 22,35000000,36108758,64708758,R,Action
The Foreigner,35000000,34393507,140783646,R,Action
Closer,35000000,33987757,116177695,R,Drama
Street Fighter,35000000,33423000,99423000,PG-13,Action
Black Knight,35000000,33422806,33422806,PG-13,Adventure
The Pianist,35000000,32519322,111854182,R,Drama
House of Wax,35000000,32064800,70064800,R,Horror
Adrift,35000000,31445011,57931376,PG-13,Drama
Mirrors,35000000,30691439,77220596,R,Horror
Queen of the Damned,35000000,30307804,30307804,R,Horror
Nanny McPhee and the Big Bang,35000000,29197642,97799865,PG,Adventure
Goosebumps 2: Haunted Halloween,35000000,28804812,39904812,PG,Horror
Predator 2,35000000,28317513,54768418,R,Action
Flash Gordon,35000000,27107960,27107960,,Action
Superhero Movie,35000000,26638520,73026302,PG-13,Comedy
Blast from the Past,35000000,26613620,26613620,PG-13,Comedy
Jersey Girl,35000000,25266129,37066129,PG-13,Comedy
Heist,35000000,23483357,28906817,R,Action
Hoffa,35000000,23365858,28391473,R,Drama
Whiskey Tango Foxtrot,35000000,23083334,25350747,R,Comedy
Ella Enchanted,35000000,22913677,22913677,PG,Comedy
Hitman: Agent 47,35000000,22467450,81959582,R,Action
The X-Files: I Want to Believe,35000000,20982478,68170792,PG-13,Action
Valiant,35000000,19478106,64188387,G,Adventure
Wonder Boys,35000000,19389454,33422485,R,Comedy
Cursed,35000000,19294901,25114901,PG-13,Horror
Walk Hard: The Dewey Cox Story,35000000,18317151,20606053,R,Comedy
The Four Feathers,35000000,18306166,29882645,PG-13,Drama
Furry Vengeance,35000000,17630465,39340177,PG,Adventure
Bait,35000000,15325127,15471969,R,Action
Dungeons and Dragons,35000000,15185241,33771965,PG-13,Adventure
Lions for Lambs,35000000,14998070,63211088,R,Drama
Flight of the Intruder,35000000,14471440,14471440,PG-13,Action
The Tree of Life,35000000,13305665,61721826,PG-13,Drama
Zoom,35000000,11989328,12506188,PG,Adventure
The Shipping News,35000000,11405825,24405825,R,Drama
The Young Victoria,35000000,11001272,31878891,PG,Drama
Sabotage,35000000,10508518,18376443,R,Action
Knock Off,35000000,10319915,10319915,R,Action
Unfinished Business,35000000,10219501,12819501,R,Comedy
The Walk,35000000,10161183,61197045,PG,Drama
The Fountain,35000000,10144010,15461638,PG-13,Drama
Mandela: Long Walk to Freedom,35000000,8323085,29890402,PG-13,Drama
Punisher: War Zone,35000000,8050977,10157534,R,Action
A Good Year,35000000,7459300,42064105,PG-13,Drama
The Brothers Grimsby,35000000,6864016,28721408,R,Comedy
Warriors of Virtue,35000000,6448817,6448817,PG,Action
Luther,35000000,5781086,32736879,PG-13,Drama
Biutiful,35000000,5101237,24687524,R,Drama
Radio Flyer,35000000,4651977,4651977,PG-13,Drama
A Hologram for the King,35000000,4212494,11848058,R,Drama
Lion of the Desert,35000000,1500000,1500000,,Drama
Le hussard sur le toit,35000000,1320043,1320043,R,Drama
Stolen,35000000,289773,17967746,R,Action
The Lovers,35000000,0,11106,PG-13,Adventure
The Darkest Hour,34800000,21443494,62831715,PG-13,Action
The Longest Ride,34000000,37446117,63802928,PG-13,Drama
The Age of Innocence,34000000,32014993,32014993,PG,Drama
Gake no ue no Ponyo,34000000,15090399,205312666,G,Adventure
Chill Factor,34000000,11263966,11263966,R,Action
I Dreamed of Africa,34000000,6543194,14291999,PG-13,Drama
Reds,33500000,50000000,50000000,PG,Drama
A Few Good Men,33000000,141340178,236500000,R,Drama
Big Momma's House,33000000,117559438,173559438,PG-13,Comedy
Exit Wounds,33000000,51758599,79958599,R,Action
Mike and Dave Need Wedding Dates,33000000,46009673,75909673,R,Comedy
Step Up Revolution,33000000,35074677,165552290,PG-13,Drama
The Punisher,33000000,33664370,54533774,R,Action
Safe,33000000,17142080,41495213,R,Action
Doomsday,33000000,11008770,21621188,R,Action
Pushing Tin,33000000,8408835,8408835,R,Comedy
Goal! The Dream Begins,33000000,4283255,27610873,PG,Drama
Bridesmaids,32500000,169211718,289632023,R,Comedy
The Reader,32500000,34194407,112964875,R,Drama
Wanderlust,32500000,17288155,24159934,R,Comedy
Elf,32000000,173398518,220236410,PG,Adventure
Phenomenon,32000000,104636382,152036382,PG,Drama
This is the End,32000000,101470202,126539117,R,Comedy
Snow Dogs,32000000,81150692,116898028,PG,Adventure
Nacho Libre,32000000,80197993,99296462,PG,Comedy
Scrooged,32000000,59450353,59450353,PG-13,Comedy
Takers,32000000,57744720,70587268,PG-13,Drama
Stigmata,32000000,50041732,89441732,R,Horror
Men of Honor,32000000,48814909,82339483,R,Drama
I Feel Pretty,32000000,48795601,91569698,PG-13,Comedy
The Transporter 2,32000000,43095856,88978458,PG-13,Action
Alive,32000000,36299670,36299670,R,Drama
Dreamer: Inspired by a True Story,32000000,33022286,39498360,PG,Drama
A History of Violence,32000000,31493782,61477797,R,Drama
The Incredible Burt Wonderstone,32000000,22537881,27392609,PG-13,Comedy
Repo Men,32000000,13942007,18195238,R,Action
Dragon Wars: D-War,32000000,10977721,79915361,PG-13,Action
Bogus,32000000,4357406,4357406,PG,Comedy
Cradle Will Rock,32000000,2899970,2899970,R,Drama
The Good German,32000000,1308696,6678033,R,Drama
Apocalypse Now,31500000,78800000,81250485,R,Action
Criminal,31500000,14708696,38771262,R,Action
Flight,31000000,93772375,160558438,R,Drama
Mr. Holland’s Opus,31000000,82582604,106282604,PG,Drama
Out of Africa,31000000,79096868,258210860,PG,Drama
Moonraker,31000000,70300000,210300000,PG,Action
The Grand Budapest Hotel,31000000,59076019,164180547,R,Comedy
Vacation,31000000,58884188,101627989,R,Comedy
Frequency,31000000,44983704,68079671,PG-13,Drama
Hearts in Atlantis,31000000,24185781,30885781,PG-13,Drama
Extraordinary Measures,31000000,12482741,15826984,PG,Drama
Birth of the Dragon,31000000,6901965,7220514,PG-13,Action
Get Shorty,30250000,72021008,115021008,R,Comedy
Ghostbusters,30000000,242212467,295212467,PG,Adventure
Toy Story,30000000,191796233,364545516,G,Adventure
Big Daddy,30000000,163479795,228641283,PG-13,Comedy
American Pie 2,30000000,145096820,286500000,R,Comedy
The Vow,30000000,125014030,197618160,PG-13,Drama
Speed,30000000,121248145,283200000,R,Action
Lee Daniels' The Butler,30000000,116632095,177025498,PG-13,Drama
Remember the Titans,30000000,115654751,136706683,PG,Drama
Dodgeball: A True Underdog Story,30000000,114326736,167791704,PG-13,Comedy
Ace Ventura: When Nature Calls,30000000,108360063,212400000,PG-13,Comedy
The Princess Diaries,30000000,108244774,165334774,G,Comedy
Analyze This,30000000,106885658,176885658,R,Comedy
The First Wives Club,30000000,105489203,181489203,PG,Comedy
Million Dollar Baby,30000000,100492203,231928227,PG-13,Drama
Mystic River,30000000,90135191,156822020,R,Drama
Sisters,30000000,87044645,106030660,R,Comedy
Pokemon: The First Movie,30000000,85744662,163644662,G,Adventure
SpongeBob SquarePants: The Movie,30000000,85416609,142051255,PG,Adventure
Up in the Air,30000000,83823381,166842739,R,Drama
The Notebook,30000000,81001787,116025023,PG-13,Drama
Hannah Montana the Movie,30000000,79576189,169173206,G,Drama
Rugrats in Paris,30000000,76501438,103284813,G,Adventure
The Hitman’s Bodyguard,30000000,75468583,172779292,R,Action
The Prince of Tides,30000000,74787599,74787599,R,Drama
Four Brothers,30000000,74494381,92494381,R,Drama
Legends of the Fall,30000000,66502573,160502573,R,Drama
Looper,30000000,66486205,170466405,R,Action
About Schmidt,30000000,65005217,107054484,R,Drama
The Nut Job,30000000,64251538,122529966,PG,Adventure
Down to Earth,30000000,64172251,71172251,PG-13,Comedy
Babe,30000000,63658910,246100000,G,Adventure
Forgetting Sarah Marshall,30000000,63172463,105173042,R,Comedy
Friday Night Lights,30000000,61255921,61950770,PG-13,Drama
Harlem Nights,30000000,60857262,95857262,R,Comedy
Baby Mama,30000000,60494212,64170447,PG-13,Comedy
Hope Floats,30000000,60110313,81529000,PG-13,Drama
Bride Wars,30000000,58715510,115150424,PG,Comedy
Without a Paddle,30000000,58156435,65121280,PG-13,Comedy
Darkest Hour,30000000,56443120,150355828,PG-13,Drama
Corpse Bride,30000000,53359111,114770654,PG,Adventure
Letters to Juliet,30000000,53032453,82148538,PG,Drama
Blow,30000000,52990775,83282296,R,Drama
Message in a Bottle,30000000,52880016,52880016,PG-13,Drama
Life of the Party,30000000,52856061,65556061,PG-13,Comedy
Southpaw,30000000,52421953,94207861,R,Drama
Star Trek V: The Final Frontier,30000000,52210049,70200000,PG,Action
Like Mike,30000000,51432423,62432423,PG,Adventure
Naked Gun 33 1/3: The Final Insult,30000000,51041856,51041856,PG-13,Comedy
Atonement,30000000,50980159,129779728,R,Drama
A View to a Kill,30000000,50327960,152627960,PG,Action
Racing Stripes,30000000,49772522,89955540,PG,Adventure
Den of Thieves,30000000,44947622,79424321,R,Action
The Three Stooges,30000000,44338224,54052249,PG,Adventure
Pokemon 2000,30000000,43746923,133946923,G,Adventure
John Wick,30000000,43037835,76235001,R,Action
Glory Road,30000000,42647449,42799060,PG,Drama
The Age of Adaline,30000000,42629776,69057415,PG-13,Drama
Step Up 3D,30000000,42400223,165889117,PG-13,Drama
Drag Me To Hell,30000000,42100625,91388487,PG-13,Horror
Secondhand Lions,30000000,42070939,47902566,PG,Drama
Stranger Than Fiction,30000000,40435190,53572822,PG-13,Comedy
Hanna,30000000,40259119,65343694,PG-13,Drama
Blue Crush,30000000,40118420,51618420,PG-13,Drama
30 Days of Night,30000000,39568996,80276156,R,Horror
Gridiron Gang,30000000,38432823,41457834,PG-13,Drama
Midnight Run,30000000,38413606,81613606,R,Action
Meet the Spartans,30000000,38233676,84646831,PG-13,Comedy
The Running Man,30000000,38122000,38122000,R,Action
The 15:17 to Paris,30000000,36250957,56070897,PG-13,Drama
Mortal Kombat: Annihilation,30000000,35927406,51327406,PG-13,Action
Take the Lead,30000000,34742066,65390493,PG-13,Drama
Love and Other Drugs,30000000,32367005,102716321,R,Drama
Entourage,30000000,32363404,46362449,R,Comedy
What's the Worst That Could Happen?,30000000,32267774,38462071,PG-13,Comedy
Deliver Us from Evil,30000000,30577122,87956618,R,Horror
Get on Up,30000000,30569935,33339868,PG-13,Drama
Winnie the Pooh,30000000,26692846,50145607,G,Adventure
Bulworth,30000000,26528684,29203383,R,Comedy
Virtuosity,30000000,23998226,23998226,R,Action
White Boy Rick,30000000,23851700,23851700,R,Drama
One True Thing,30000000,23337196,26708196,R,Drama
Sanctum,30000000,23209310,104283753,R,Adventure
My Super Ex-Girlfriend,30000000,22530295,60772856,PG-13,Comedy
Ballerina,30000000,21858070,96908157,PG,Adventure
Mr. 3000,30000000,21800302,21827296,PG-13,Comedy
Assault On Precinct 13,30000000,20040895,36040895,R,Action
The Replacement Killers,30000000,19035741,19035741,R,Action
Ultraviolet,30000000,18522064,30962112,PG-13,Action
North Country,30000000,18324242,23676771,R,Drama
Steve Jobs,30000000,17766658,35579007,R,Drama
Eight Legged Freaks,30000000,17266505,36722311,PG-13,Comedy
Fled,30000000,17192205,19892205,R,Action
Splice,30000000,17010170,28542494,R,Horror
The Whole Ten Yards,30000000,16323969,26323969,PG-13,Comedy
Howard the Duck,30000000,16295774,16295774,,Action
Pride and Glory,30000000,15740721,43440721,R,Drama
The Cave,30000000,15007991,27147991,PG-13,Horror
Alex & Emma,30000000,14208384,15358583,PG-13,Drama
The New World,30000000,12712093,26184400,PG-13,Adventure
Evening,30000000,12406646,12885574,PG-13,Drama
The Last Stand,30000000,12050299,48330757,R,Action
In Dreams,30000000,12017369,12017369,R,Horror
Wing Commander,30000000,11578022,11578022,PG-13,Action
Hoodwinked Too: Hood vs. Evil,30000000,10143779,23353111,PG,Adventure
Dragonball Evolution,30000000,9362785,58228460,PG,Adventure
An Unfinished Life,30000000,8535575,18535575,PG-13,Drama
The Space Between Us,30000000,7885294,16481405,PG-13,Drama
The Imaginarium of Doctor Parnassus,30000000,7689607,64352607,PG-13,Adventure
Barney's Version,30000000,7502560,8845575,R,Drama
Once Upon a Time in America,30000000,5321508,5575648,R,Drama
Gloria,30000000,4167493,4967493,R,Drama
The Merchant of Venice,30000000,3765585,18765585,R,Drama
The Good Thief,30000000,3517797,6460758,R,Drama
Supercross,30000000,3102550,3252550,PG-13,Action
Miss Potter,30000000,3005605,35891257,PG,Drama
Wu ji,30000000,669625,35869934,PG-13,Action
Machine Gun Preacher,30000000,538690,3721988,R,Drama
Bilal: A New Breed of Hero,30000000,490973,648599,PG-13,Adventure
DOA: Dead or Alive,30000000,480314,7755686,PG-13,Action
Xinhai geming,30000000,135739,8593154,R,Drama
Wild Card,30000000,3200,3989464,R,Action
Goodbye Bafana,30000000,0,2717302,,Drama
Collide,29200000,2280004,5466631,PG-13,Action
Pitch Perfect 2,29000000,184296230,287641616,PG-13,Comedy
Walk the Line,29000000,119519402,187707495,PG-13,Drama
Night School,29000000,66906825,84406825,PG-13,Comedy
The Boss,29000000,63077560,78652395,R,Comedy
Twelve Monkeys,29000000,57141459,168841459,R,Drama
Once Upon a Time in Mexico,29000000,56330657,97413527,R,Action
Logan Lucky,29000000,27778642,43886147,PG-13,Comedy
Florence Foster Jenkins,29000000,27383770,56017691,PG-13,Drama
The Borrowers,29000000,22619589,54045832,PG,Adventure
Frost/Nixon,29000000,18622031,28452945,R,Drama
Seed of Chucky,29000000,17016190,24716190,R,Horror
Confessions of a Dangerous Mind,29000000,16007718,33013805,R,Drama
Taking Woodstock,29000000,7460204,10066366,R,Drama
Cry Freedom,29000000,5899797,25899797,,Drama
Mumford,28700000,4559569,4559569,R,Comedy
Aladdin,28000000,217350219,504050219,G,Adventure
Straight Outta Compton,28000000,161197785,202182981,R,Drama
Girls Trip,28000000,115108515,140886353,R,Comedy
The Rugrats Movie,28000000,100494685,140894685,G,Adventure
Die Hard,28000000,81350242,139109346,R,Action
A Bad Moms Christmas,28000000,72110659,127710659,R,Comedy
Safe Haven,28000000,71399120,94050951,PG-13,Drama
The Big Short,28000000,70259870,133162752,R,Drama
Role Models,28000000,67300955,94500826,R,Comedy
Miracle,28000000,64378093,64474705,PG,Drama
Last Vegas,28000000,63914167,112914167,PG-13,Comedy
For Your Eyes Only,28000000,54800000,195300000,PG,Action
Tag,28000000,54547470,76844788,R,Comedy
Zoolander,28000000,45172250,60780981,PG-13,Comedy
Timecop,28000000,44853581,102053581,R,Action
Hocus Pocus,28000000,39360491,39360491,PG,Comedy
Pride & Prejudice,28000000,38372662,126549607,PG,Drama
30 Minutes or Less,28000000,37053924,40966716,R,Comedy
Dracula 2000,28000000,33000377,33000377,R,Horror
Rob Roy,28000000,31390587,31390587,R,Drama
Kick-Ass 2,28000000,28795985,63129909,R,Action
We Own the Night,28000000,28563179,55307857,R,Drama
A Walk Among the Tombstones,28000000,26017685,62108587,R,Action
The Spy Next Door,28000000,24307106,46752858,PG,Adventure
Brick Mansions,28000000,20396829,73421224,PG-13,Action
John Carpenter's Ghosts of Mars,28000000,8434601,8434601,R,Action
A Simple Wish,28000000,8165213,8165213,PG,Comedy
Our Brand is Crisis,28000000,7002261,8592432,R,Drama
Kundun,28000000,5686694,5686694,PG-13,Drama
Octopussy,27500000,67900000,187500000,PG,Action
My Sister's Keeper,27500000,49200230,96673002,PG-13,Drama
Welcome Home Roscoe Jenkins,27500000,42436517,43607627,PG-13,Comedy
A Passage to India,27500000,27187653,27187653,,Drama
Notes on a Scandal,27500000,17510118,50578411,R,Drama
The Jungle Book,27000000,44342956,44342956,PG,Adventure
Spy Kids: All the Time in the World,27000000,38536376,80681183,PG,Adventure
The Right Stuff,27000000,21500000,21500000,,Action
Die Unendliche Geschichte,27000000,21300000,21300000,,Adventure
The Duchess,27000000,13848978,45160110,PG-13,Drama
Case 39,27000000,13261851,28773827,R,Horror
The Honeymooners,27000000,12834849,13174426,PG-13,Comedy
Return to Oz,27000000,10618813,10618813,PG,Adventure
The Newton Boys,27000000,10341093,10341093,PG-13,Drama
Martian Child,27000000,7500310,9352089,PG,Drama
Formula 51,27000000,5204007,5204007,R,Action
Flawless,27000000,4485485,4485485,R,Drama
What Just Happened,27000000,1090947,2412123,R,Comedy
Paul Blart: Mall Cop,26000000,146336178,185904750,PG,Adventure
The 40 Year-old Virgin,26000000,109449237,177344230,R,Comedy
Kindergarten Cop,26000000,91457688,202000000,PG-13,Comedy
Pineapple Express,26000000,87341380,102404019,R,Comedy
Philadelphia,26000000,77324422,201324422,PG-13,Drama
Ever After: A Cinderella Story,26000000,65705772,65705772,PG,Drama
A Bridge Too Far,26000000,50800000,50800000,PG,Action
Pain & Gain,26000000,49875291,81275291,R,Action
Final Destination 2,26000000,46896664,90396664,R,Horror
In Good Company,26000000,45489752,63489752,PG-13,Comedy
Lawless,26000000,37397291,54393637,R,Drama
Clockstoppers,26000000,36985501,38788828,PG,Adventure
Brothers,26000000,28544157,45043870,R,Drama
The Best of Me,26000000,26766213,41059418,PG-13,Drama
Welcome to Mooseport,26000000,14469428,14469428,PG-13,Comedy
Highlander: The Final Dimension,26000000,13738574,13738574,PG-13,Action
The Curse of the Jade Scorpion,26000000,7496522,18496522,PG-13,Comedy
The Fifth Estate,26000000,3254172,6154172,R,Drama
Blood Ties,26000000,42472,2923959,R,Drama
The Grimm Brothers' Snow White,26000000,5000,5000,PG-13,Horror
Accidental Love,26000000,0,135436,PG-13,Comedy
Flipper,25530000,20080020,30593313,PG,Adventure
The Constant Gardener,25500000,33579798,86301599,R,Drama
W.,25100000,25534493,28575778,PG-13,Drama
The Passion of the Christ,25000000,370782930,622341924,R,Drama
Mrs. Doubtfire,25000000,219195051,441286003,PG-13,Comedy
Rain Man,25000000,172825435,412800000,R,Comedy
The Help,25000000,169705587,213120004,PG-13,Drama
Hidden Figures,25000000,169607287,231771716,PG,Drama
Gran Torino,25000000,148095302,274543085,R,Drama
Ride Along,25000000,134202565,153733800,PG-13,Comedy
Schindler’s List,25000000,96067179,321365567,R,Drama
Scooby-Doo 2: Monsters Unleashed,25000000,84185387,181185387,PG,Adventure
Freddy vs. Jason,25000000,82622655,114576403,R,Horror
Bridge to Terabithia,25000000,82234139,137984788,PG,Drama
Jimmy Neutron: Boy Genius,25000000,80936232,102992536,G,Adventure
Cloverfield,25000000,80048433,171302226,PG-13,Action
Dear John,25000000,80014842,142033509,PG-13,Drama
Parental Guidance,25000000,77267296,120832383,PG,Adventure
The Untouchables,25000000,76270454,76270454,R,Action
No Country for Old Men,25000000,74273505,164035753,R,Action
Contraband,25000000,66528000,98406855,R,Action
A Dog’s Purpose,25000000,64321890,203731707,PG,Drama
The Lucky One,25000000,60457138,96633833,PG-13,Drama
Romeo Must Die,25000000,55973336,91036760,R,Action
Final Destination 3,25000000,54098051,112798051,R,Horror
Madea's Big Happy Family,25000000,53345287,54160818,PG-13,Drama
Tyler Perry's A Madea Christmas,25000000,52543354,52543354,PG-13,Comedy
Finding Neverland,25000000,51676606,115036108,PG,Drama
Cobra,25000000,49042224,49042224,R,Action
The House Bunny,25000000,48237389,71390601,PG-13,Comedy
Agent Cody Banks,25000000,47545060,58240458,PG,Adventure
Nanny McPhee,25000000,47279279,128745578,PG,Adventure
Goodfellas,25000000,46743809,46777347,R,Drama
The Giver,25000000,45090374,55090374,PG-13,Drama
Nothing To Lose,25000000,44480039,64594061,R,Comedy
The Last Emperor,25000000,43984987,44005073,PG-13,Drama
The Night Before,25000000,43035725,52427346,R,Comedy
The Beverly Hillbillies,25000000,42222647,55598481,PG,Comedy
The Hours,25000000,41675994,97030468,PG-13,Drama
Money Talks,25000000,41076865,41076865,R,Action
There Will Be Blood,25000000,40222514,77208711,R,Drama
The Wild Thornberrys Movie,25000000,40108697,60694737,PG,Adventure
Rugrats Go Wild,25000000,39402572,55443032,PG,Adventure
Undercover Brother,25000000,38230435,40796145,PG-13,Comedy
Kiss of the Dragon,25000000,36833473,36833473,R,Action
Million Dollar Arm,25000000,36447959,39217912,PG,Drama
Beauty Shop,25000000,36351350,38351350,PG-13,Comedy
What a Girl Wants,25000000,35990505,35990505,PG,Comedy
Jeepers Creepers II,25000000,35623801,119923801,R,Horror
Cradle 2 the Grave,25000000,34657731,56434942,R,Action
Mr. Bean’s Holiday,25000000,33302167,234981342,G,Adventure
Bride of Chucky,25000000,32404188,50692188,R,Horror
Fist Fight,25000000,32187017,40287017,R,Comedy
August Rush,25000000,31664162,66015869,PG,Drama
The Sitter,25000000,30542576,38749404,R,Comedy
Elizabeth,25000000,30082699,82150642,R,Drama
Spice World,25000000,29342592,56042592,PG,Comedy
Draft Day,25000000,28842237,29847480,PG-13,Drama
The Shawshank Redemption,25000000,28241469,28307092,R,Drama
Rings,25000000,27793018,82933201,PG-13,Horror
Dance Flick,25000000,25794018,32224624,PG-13,Comedy
Crocodile Dundee in Los Angeles,25000000,25590119,39393111,PG,Adventure
Kingpin,25000000,25023424,32223424,R,Comedy
Ice Princess,25000000,24381334,25732334,G,Comedy
